Accession,Release_Date,Species,Length,Nuc_Completeness,Geo_Location,U.S._State,Host,Isolation_Source,Collection_Date
MT635857,2020-06-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,"India: Gujarat, Mahemdavad",,Homo sapiens,,2020-06-08
MT635858,2020-06-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,"India: Gujarat, Nadiad",,Homo sapiens,,2020-06-08
MT636895,2020-06-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29525,partial,Russia: Moscow region,,Homo sapiens,,2020-03-20
MT637143,2020-06-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29883,complete,Russia: Moscow region,,Homo sapiens,,2020-03-22
MT637144,2020-06-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29597,partial,Russia: Moscow region,,Homo sapiens,,2020-03-18
6X2G_E,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,9,partial,,,,,
6X2G_F,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,9,partial,,,,,
MT627212,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627213,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-04
MT627214,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-01
MT627215,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-03
MT627216,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627217,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,USA: Washington,WA,Homo sapiens,,2020-03-02
MT627218,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627219,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627220,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-01
MT627221,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-03
MT627222,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-01
MT627223,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-03
MT627224,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29621,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-02
MT627225,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-01
MT627226,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627227,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627228,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-02
MT627229,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,complete,USA: Washington,WA,Homo sapiens,,2020-03-05
MT627230,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,partial,"USA: Washington,Grant County",WA,Homo sapiens,,2020-03-02
MT627231,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-02
MT627232,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627233,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,Umatilla County",WA,Homo sapiens,,2020-02-29
MT627234,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-05
MT627235,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627236,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627237,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-03
MT627238,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627239,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29706,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627240,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-04
MT627241,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-02
MT627242,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627243,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,Umatilla County",WA,Homo sapiens,,2020-02-29
MT627244,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,complete,"USA: Washington,Clark County",WA,Homo sapiens,,2020-03-01
MT627245,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627246,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-01
MT627247,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627248,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627249,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,complete,"USA: Washington,Grant County",WA,Homo sapiens,,2020-03-02
MT627250,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627251,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,complete,USA: Washington,WA,Homo sapiens,,2020-03-02
MT627252,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627253,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627254,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-01
MT627255,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-03
MT627256,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-05
MT627257,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627258,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-02-28
MT627259,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627260,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-04
MT627261,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627262,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-02
MT627263,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-26
MT627264,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627265,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,USA: Washington,WA,Homo sapiens,,2020-03-03
MT627266,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-02
MT627267,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-02-29
MT627268,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-05
MT627269,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627270,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-21
MT627271,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,USA: Washington,WA,Homo sapiens,,2020-03-02
MT627272,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-02
MT627273,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-02
MT627274,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627275,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,USA: Washington,WA,Homo sapiens,,2020-02-28
MT627276,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: Washington,WA,Homo sapiens,,2020-02-27
MT627277,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-04
MT627278,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627279,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-02-29
MT627280,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,"USA: Washington,Grant County",WA,Homo sapiens,,2020-03-02
MT627281,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-02
MT627282,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627283,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-02
MT627284,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA: Washington,WA,Homo sapiens,,2020-03-03
MT627285,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-03
MT627286,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-02-28
MT627287,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-01
MT627288,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-22
MT627289,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-06
MT627290,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627291,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-04
MT627292,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-03
MT627293,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627294,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627295,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627296,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-02
MT627297,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-03
MT627298,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-01
MT627299,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA: Washington,WA,Homo sapiens,,2020-02-29
MT627300,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-04
MT627301,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627302,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627303,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,USA: Washington,WA,Homo sapiens,,2020-03-03
MT627304,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627305,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-02
MT627306,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-04
MT627307,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,complete,USA: Washington,WA,Homo sapiens,,2020-02-29
MT627308,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-03
MT627309,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,complete,USA: Washington,WA,Homo sapiens,,2020-03-02
MT627310,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-06
MT627311,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,complete,USA: Washington,WA,Homo sapiens,,2020-03-03
MT627312,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627313,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627314,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627315,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627316,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,complete,USA: Washington,WA,Homo sapiens,,2020-03-02
MT627317,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,USA: Washington,WA,Homo sapiens,,2020-03-02
MT627318,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-28
MT627325,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,China,,Homo sapiens,oronasopharynx,2020-02-28
MT627407,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627408,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627409,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627410,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29884,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627411,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627412,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627413,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627414,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627415,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627416,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627417,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT627418,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,complete,USA: CO,CO,Homo sapiens,,2020-03-13
MT627419,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: CO,CO,Homo sapiens,,2020-03-12
MT627420,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: HI,HI,Homo sapiens,,2020-03-12
MT627421,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,USA: HI,HI,Homo sapiens,,2020-03-12
MT627422,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,USA: IN,IN,Homo sapiens,,2020-03-12
MT627423,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627424,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627425,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627426,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627427,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627428,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627429,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627430,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627431,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627432,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627433,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627434,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NY,NY,Homo sapiens,,2020-03-12
MT627435,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,complete,USA: NY,NY,Homo sapiens,,2020-03-13
MT627436,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,complete,USA: OK,OK,Homo sapiens,,2020-03-13
MT627437,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,complete,USA: WA,WA,Homo sapiens,,2020-03-13
MT627606,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,partial,USA: Washington,WA,Homo sapiens,,2020-03-16
MT627607,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-21
MT627608,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,partial,USA: Washington,WA,Homo sapiens,,2020-03-11
MT627609,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-03
MT627610,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,partial,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-26
MT627611,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-04
MT627612,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627613,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-12
MT627614,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-06
MT627615,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-13
MT627616,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-08
MT627617,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,partial,"USA: Washington,King County",WA,Homo sapiens,,2020-03-10
MT627618,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-04
MT627619,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-13
MT627620,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,USA: Washington,WA,Homo sapiens,,2020-03-17
MT627621,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-10
MT627622,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,USA: Washington,WA,Homo sapiens,,2020-04-01
MT627623,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627624,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-06
MT627625,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-29
MT627626,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627627,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-26
MT627628,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,USA: Washington,WA,Homo sapiens,,2020-03-30
MT627629,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-06
MT627630,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-02-22
MT627631,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA: Washington,WA,Homo sapiens,,2020-04-01
MT627632,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-05
MT627633,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-06
MT627634,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,"USA: Washington,Pierce County",WA,Homo sapiens,,2020-03-14
MT627635,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,Pierce County",WA,Homo sapiens,,2020-03-15
MT627636,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-12
MT627637,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,"USA: Washington,Snohomish County",WA,Homo sapiens,,2020-03-05
MT627638,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-03-04
MT627745,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-04-15
MT627746,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-04-27
MT627747,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-04-29
MT627748,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,"USA: Washington,King County",WA,Homo sapiens,,2020-04-04
